-,N-surface,C-Surface,Mid,Bt
Cellular Organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,24,37,12,20
Cellular Organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,18,21,8,6
Cellular Organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Other,4,43,0,1
Cellular Organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,6,13,0,1
Cellular Organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales,3,3,1,5
Cellular Organisms;Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84,1,4,2,7
Cellular Organisms;Bacteria;Proteobacteria;Betaproteobacteria;Other,1,2,1,9
Cellular Organisms;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales,0,0,1,12
Cellular Organisms;Bacteria;Proteobacteria;Deltaproteobacteria;GR-WP33-30,3,0,4,7
Cellular Organisms;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales,7,0,3,17
Cellular Organisms;Bacteria;Proteobacteria;Deltaproteobacteria;Other,0,2,2,19
Cellular Organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,2,0,1,0
Cellular Organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,23,2,4,4
Cellular Organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Other,2,1,1,6
Cellular Organisms;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales,0,0,0,0
Cellular Organisms;Bacteria;Proteobacteria;Proteobacteria;Other,5,3,2,1
Cellular Organisms;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales,0,0,0,0
Cellular Organisms;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales,17,73,2,6
Cellular Organisms;Bacteria;Proteobacteria;Bacteroidetes;Other,0,0,0,0
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales,21,11,10,5
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;Bryobacter,8,13,2,1
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;DA023,3,4,6,43
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;DA052,16,0,3,0
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;RB41,1,6,10,13
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;Holophagae,1,4,8,15
Cellular Organisms;Bacteria;Acidobacteria;Acidobacteria;Other,9,14,15,25
Cellular Organisms;Bacteria;Actinobacteria;Actinobacteria;Acidimicrobidae,4,9,2,19
Cellular Organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae,23,52,0,35
Cellular Organisms;Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae,13,21,3,32
Cellular Organisms;Bacteria;Actinobacteria;Other,0,0,4,22
Cellular Organisms;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,2,0,1,26
Cellular Organisms;Bacteria;Chloroflexi;Other,3,18,11,64
Cellular Organisms;Bacteria;Planctomycetes;Phycisphaerae,6,13,6,4
Cellular Organisms;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales,14,26,8,15
Cellular Organisms;Bacteria;Planctomycetes;Other,1,2,1,6
Cellular Organisms;Bacteria;Cyanobacteria,1,7,0,0
Cellular Organisms;Bacteria;Gemmatimonadetes,3,26,11,20
Cellular Organisms;Bacteria;Nitrospirae;Nitrospira;Nitrospirales,0,0,5,6
Cellular Organisms;Bacteria;Verrucomicrobia;Spartobacteria,2,9,15,2
Cellular Organisms;Bacteria;Verrucomicrobia;Other,7,3,4,4
Cellular Organisms;Bacteria;Other,6,33,15,18
Cellular Organisms;Archaea;Crenarchaeota,0,0,0,1
Cellular Organisms;Archaea;Euryarchaeota,0,0,0,0
Cellular Organisms;Eukaryota;Alveolata;Apicomplexa,0,5,0,0
Cellular Organisms;Eukaryota;Alveolata;Ciliophora,0,5,0,0
Cellular Organisms;Eukaryota;Alveolata;Other,0,0,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota,7,0,1,4
Cellular Organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota,8,11,0,3
Cellular Organisms;Eukaryota;Opisthokonta;Fungi;Glomeromycota;Glomeromycetes,0,3,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Fungi;Other,3,4,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Metazoa;Annelida,0,1,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Metazoa;Arthropoda,4,0,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Metazoa;Nematoda,1,2,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Metazoa;Tardigrada,0,1,0,0
Cellular Organisms;Eukaryota;Opisthokonta;Metazoa;Other,0,1,0,0
Cellular Organisms;Eukaryota;Viridiplantae;Chlorophyta,0,7,0,0
Cellular Organisms;Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Bryophyta,0,2,0,0
Cellular Organisms;Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta,2,10,0,0
Cellular Organisms;Eukaryota;Viridiplantae;Other,0,1,0,0
Cellular Organisms;Eukaryota;Rhizaria,0,8,0,0
Cellular Organisms;Eukaryota;Other,0,16,0,0
