-,N-surface,C-Surface,Mid,Bt
Rhizobiales,24,37,12,20
Rhodospirillales,18,21,8,6
Other_Alphaproteobacteria,4,43,0,1
Burkholderiales,6,13,0,1
Nitrosomonadales,3,3,1,5
SC-I-84,1,4,2,7
Other_Betaproteobacteria,1,2,1,9
Desulfuromonadales,0,0,1,12
GR-WP33-30,3,0,4,7
Myxococcales,7,0,3,17
Other_Deltaproteobacteria,0,2,2,19
Pseudomonadales,2,0,1,0
Xanthomonadales,23,2,4,4
Other_Gammaproteobacteria,2,1,1,6
Campylobacterales,0,0,0,0
Other_Proteobacteria,5,3,2,1
Flavobacteriales,0,0,0,0
Sphingobacteriales,17,73,2,6
Other_Bacteroidetes,0,0,0,0
Acidobacteriales,21,11,10,5
Bryobacter,8,13,2,1
DA023,3,4,6,43
DA052,16,0,3,0
RB41,1,6,10,13
Holophagae,1,4,8,15
Other_Acidobacteria,9,14,15,25
Acidimicrobidae,4,9,2,19
Actinobacteridae,23,52,0,35
Rubrobacteridae,13,21,3,32
Other_Actinobacteria,0,0,4,22
Anaerolineales,2,0,1,26
Other_Chloroflexi,3,18,11,64
Phycisphaerae,6,13,6,4
Planctomycetales,14,26,8,15
Other_Planctomycetes,1,2,1,6
Cyanobacteria,1,7,0,0
Gemmatimonadetes,3,26,11,20
Nitrospirales,0,0,5,6
Spartobacteria,2,9,15,2
Other_Verrucomicrobia,7,3,4,4
Other_Bacteria,6,33,15,18
Crenarchaeota,0,0,0,1
Euryarchaeota,0,0,0,0
Apicomplexa,0,5,0,0
Ciliophora,0,5,0,0
Other_Alveolata,0,0,0,0
Ascomycota,7,0,1,4
Basidiomycota,8,11,0,3
Glomeromycetes,0,3,0,0
Other_Fungi,3,4,0,0
Annelida,0,1,0,0
Arthropoda,4,0,0,0
Nematoda,1,2,0,0
Tardigrada,0,1,0,0
Other_Metazoa,0,1,0,0
Chlorophyta,0,7,0,0
Bryophyta,0,2,0,0
Tracheophyta,2,10,0,0
Other_Viridiplantae,0,1,0,0
Rhizaria,0,8,0,0
Other_Eukaryota,0,16,0,0
No-blast-hit,0,0,0,0
