name,radius,fillKey,latitude,longitude,mbs,project
4477803.3,10,soil,-77.73,162.31,595.2,cross-site soil metagen
4477804.3,10,soil,39.1,-96.6,534.9,cross-site soil metagen
4477805.3,10,soil,34.9,-115.65,589.9,cross-site soil metagen
4477807.3,10,soil,-12.63,-71.23,920.7,cross-site soil metagen
4477874.3,10,soil,68.63,-149.58,601.2,cross-site soil metagen
4477875.3,10,soil,-54.68,-26.73,523.5,cross-site soil metagen
4477876.3,10,soil,64.8,-148.25,654.4,cross-site soil metagen
4477877.3,10,soil,34.62,-81.67,640.3,cross-site soil metagen
4477899.3,10,soil,35.97,-79.08,389,cross-site soil metagen
4477900.3,10,soil,-78.03,163.87,794.7,cross-site soil metagen
4477902.3,10,soil,-77.61,163.25,944.7,cross-site soil metagen
4477903.3,10,soil,-77.64,162.89,654.4,cross-site soil metagen
4477904.3,10,soil,-77.53,161.7,1086.4,cross-site soil metagen
4481963.3,10,sediment,45.14,106.77,6271.9,Tongue_all_2011
4508941.3,10,soil,39.75,-84.92,1997.2,EarlhamMetagenomes2012
4508942.3,10,soil,39.8,-84.92,3888.4,EarlhamMetagenomes2012
4510162.3,10,sediment,28.74,-88.36,27762.5,BP_Sediments
4510163.3,10,sediment,28.73,-88.36,14544.6,BP_Sediments
4510164.3,10,sediment,28.7,-88.37,18850.8,BP_Sediments
4510165.3,10,sediment,28.74,88.37,16753.9,BP_Sediments
4510166.3,10,sediment,28.75,-88.36,20590.7,BP_Sediments
4510168.3,10,sediment,28.74,-88.37,26836.9,BP_Sediments
4510169.3,10,sediment,28.7, -88.49,18327.9,BP_Sediments
4510170.3,10,sediment,28.67,-88.44,28746.3,BP_Sediments
4510171.3,10,sediment,28.64,-88.47,34766.6,BP_Sediments
4510172.3,10,sediment,28.42,-88.7,35839.6,BP_Sediments
4510173.3,10,sediment,28.58,-88.54,37220.3,BP_Sediments
4510174.3,10,sediment,28.51,-88.6,29364.3,BP_Sediments
4510175.3,10,sediment,28.35,-88.78,29777.8,BP_Sediments
4510219.3,10,soil,5.29,100.28,56396.8,Penang Mangrove Metagenome
4511061.3,10,soil,33.74,-117.7,11650.1,Loma_Ridge_grassland
4516911.3,10,air,40,116.33,9174.8,BeijingǏ_s PM2.5 and PM10 Pollutants
4536379.3,10,sediment,20.59,-87.17,775.8,Yucatan Groundwater
4536382.3,10,water,20.37,-87.33,4108.2,Yucatan Groundwater
4536390.3,10,sediment,20.91,-88.87,1148.9,Yucatan Groundwater
4537104.3,10,water,71.37,-156.7,2122.2,Arctic young sea ice and frost flower comparison
4539575.3,10,soil,41.83,-93.01,19954.9,GED prairie unassembled
4541646.3,10,soil,45.4,-93.2,11702.1,CedarCreek_minsoil_June2013
4550335.3,10,water,-38.17,148.42,2692.3,Bass Strait oil field metagenomics
4554155.3,10,soil,0,0,18.4,Arctic soil rerun
4477872.3,10,soil,35.38,-105.93,680.5,cross-site soil metagen
4477873.3,10,soil,34.33,-106.73,1112.3,cross-site soil metagen
4440037.3,10,water,6.39,-162.33,19.8,Northern Line Islands 
4440039.3,10,water,5.87,-162.13,37.1,Northern Line Islands 
4440041.3,10,water,1.99,157.48,23.7,Northern Line Islands 
4440212.3,10,water,5.22,60.27,47.3,cDNA - Plymouth Marine Lab Coastal Waters project
4440275.3,10,water,64.47,60.27,59.3,cDNA - Plymouth Marine Lab Coastal Waters project
4440276.3,10,water,-5.22,60.27,68.2,cDNA - Plymouth Marine Lab Coastal Waters project
4440438.3,10,water,32.6,-117.11,34.8,"Chula Vista, CA Solar Saltern Study"
4440984.3,10,sediment,35.55,138.88,17.9,Jeffries et al PLoS One
4441020.3,10,sediment,35.79,139.31,27.3,Jeffries et al PLoS One
4441021.3,10,sediment,35.94,139.49,30,Jeffries et al PLoS One
4441022.3,10,sediment,36.17,139.65,28.9,Jeffries et al PLoS One
4441062.3,10,water,22.75,-158.03,11.8,Microbial Community Genomics at the HOT/ALOHA
4441091.3,10,soil,43.96,93.66,154.5,Waseca County Farm Soil Metagenome
4443317.3,10,water,70.41,20.11,57.5,Iquique Oxygen minimum zone Chile
